"geo_type";"region";"transportation_type";"alternative_name";"sub-region";"country";"fecha";"tasa"
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-04-03;8,87
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-04-04;7,23
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-04-05;6,38
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-04-06;8,17
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-04-07;9,5
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-04-08;11,28
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-04-09;10,15
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-04-10;8,79
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-04-11;9,82
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-04-12;7,05
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-04-13;11,07
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-04-14;11,91
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-04-15;11,18
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-04-16;13,2
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-04-17;13,12
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-04-18;10,19
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-04-19;8,2
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-04-20;12,54
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-04-21;12,48
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-04-22;11,86
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-04-23;13,11
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-04-24;14,16
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-04-25;13,83
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-04-26;12,19
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-04-27;12,43
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-04-28;10,12
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-04-29;15,8
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-04-30;16,94
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-05-01;10,87
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-05-02;13,23
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-05-03;9,39
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-05-04;14,07
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-05-05;15,49
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-05-06;17,45
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-05-07;16,53
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-05-08;23,1
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-05-09;15,57
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-05-10;11,84
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-05-11;NA
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-05-12;NA
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-05-13;19,17
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-05-14;19,89
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-05-15;21,3
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-05-16;18,01
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-05-17;14,3
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-05-18;22,9
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-05-19;22,61
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-05-20;20,79
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-05-21;21,6
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-05-22;21,38
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-05-23;21,48
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-05-24;13,15
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-05-25;14,29
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-05-26;21
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-05-27;23,31
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-05-28;23,16
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-05-29;24,28
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-05-30;16,93
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-05-31;11,82
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-06-01;19,73
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-06-02;20,68
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-06-03;22,11
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-06-04;23,31
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-06-05;23,9
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-06-06;20,29
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-06-07;14,93
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-06-08;25,25
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-06-09;25,75
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-06-10;24,44
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-06-11;25,25
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-06-12;28,99
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-06-13;24,3
